filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
IMG-20250703-WA0006.jpg,523052,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[907,783,950,1271,1221,894],""all_points_y"":[2511,2554,2844,2690,2566,2511]}","{""CLASS_LABELS"":""ARMCORTEXM7""}"
IMG-20250703-WA0007.jpg,916220,"{}",3,0,"{""name"":""polyline"",""all_points_x"":[1443,1555,1548,1431,1443],""all_points_y"":[716,716,1098,1080,709]}","{""CLASS_LABELS"":""8051""}"
IMG-20250703-WA0007.jpg,916220,"{}",3,1,"{""name"":""polyline"",""all_points_x"":[1468,1462,1382,1468,1530,1493],""all_points_y"":[2381,2307,2412,2504,2467,2344]}","{""CLASS_LABELS"":""ARMCORTEXM7""}"
IMG-20250703-WA0007.jpg,916220,"{}",3,2,"{""name"":""polyline"",""all_points_x"":[1012,2023,2060,1511,1018,944,1036],""all_points_y"":[3016,2905,3615,3744,3781,3010,3010]}","{""CLASS_LABELS"":""ARMCORTEXM3\n""}"
IMG-20250703-WA0008.jpg,716755,"{}",3,0,"{""name"":""polyline"",""all_points_x"":[1641,1764,1684,1598,1659],""all_points_y"":[783,808,1154,1129,771]}","{""CLASS_LABELS"":""8051""}"
IMG-20250703-WA0008.jpg,716755,"{}",3,1,"{""name"":""polyline"",""all_points_x"":[1437,1419,1320,1376,1419,1437],""all_points_y"":[2338,2307,2387,2455,2437,2332]}","{""CLASS_LABELS"":""ARMCORTEXM7""}"
IMG-20250703-WA0008.jpg,716755,"{}",3,2,"{""name"":""polyline"",""all_points_x"":[851,1783,1764,728,814,876],""all_points_y"":[2899,2905,3615,3658,2905,2899]}","{""CLASS_LABELS"":""ARMCORTEXM3""}"
IMG-20250703-WA0009.jpg,648525,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[2011,1918,2091,2356,2301,2005],""all_points_y"":[2097,2159,2406,2233,2147,2097]}","{""CLASS_LABELS"":""ARMCORTEXM3\n""}"
IMG-20250703-WA0010.jpg,631902,"{}",1,0,"{""name"":""polyline"",""all_points_x"":[1166,1252,1592,1308,1246,1154],""all_points_y"":[1295,1178,1450,1746,1696,1289]}","{""CLASS_LABELS"":""ARMCORTEXM7""}"
IMG-20250703-WA0011.jpg,1046166,"{}",3,0,"{""name"":""polyline"",""all_points_x"":[1024,1055,1135,1030,913],""all_points_y"":[981,1104,1308,1332,981]}","{""CLASS_LABELS"":""8051""}"
